Blog	groups	ashtray	stretching	sum	indians	adventure	rightly	cell	reviewing	tstyle	reverse	statements	chilling	existent	sleepy	fortunately	typically	settle	exit	lone	behave	compositions	bastards	canned	pagination	jacob	reflective	legit	eleven	exclusively	spending	rival	wings	license	norm	encourage	haircut	emerge	actors	beg	honored	closet	outfits	pr	collector	whore	teenagers	leisure	mob	ali	marry	hopeful	jobs	knocking	westerns	pleased	females	elliot	someday	cutting	ken	historic	harris	meditation	insane	chant	myth	challenge	passive	longing	curse	lenny	jewelry	ducks	supreme	joan	graduation	nigel	recordings	pedal	security	tale	butter	redhead	spice	oklahoma	html	ringing	combine	army	sentiments	funk	cuff	violence	orbit	producer	ariel	switched	snakes	careless	equation	arriving	larger	syd	trivia	sharp	quit	critic	benefits	norton	colbert	glen	industry	clue	appeared	rivers	shaking	recipe	expanded	undoubtedly	endings	dancer	sailing	viewed	jurado	drove	kil	sheen	cassettes	steam	twigs	rockabilly	pummeling	reminder	sensibility	practically	lame	grande	resulting	chatter	afghan	remembering	breathtaking	carl	alps	happiness	buying	carrie	careers	dual	bucks	origins	quintessential	infinite	andrews	sunny	tower	chapters	ipod	immortal	ma	historically	cinema	escaped	abuse	powered	eric	argue	lip	approaches	schools	cramps	ash	blogged	gentleman	caring	downs	cos	appropriate	attempting	accepting	mo	eliminate	polar	cornell	flash	christian	leaning	electricity	strongly	grief	polite	responsible	rebellion	fake	rides	implies	ha	melvins	remove	plethora	gained	bundle	mc	crashed	astronaut	celebrate	fists	patient	knowledge	pulled	wives	symphony	laundry	instinct	spiritualized	mister	allow	landed	minority	futuristic	catches	surprises	claimed	index	railroad	fictional	luke	importance	aquarium	daddy	neighbors	fourteen	dime	kim	sports	delay	loser	slower	kramer	gutter	grinding	pro	gods	vocabulary	movies	goal	mondays	birth	mould	partnership	skinny	upcoming	grandfather	delivering	groundbreaking	jacuzzi	skills	announcement	insanely	sprawling	lucas	discography	served	humming	ashley	idiots	crows	truckers	subsequently	amused	effortlessly	haze	additions	flourishes	mccarthy	heath	execution	formed	tons	analysis	winding	percentage	evokes	donuts	impress	outlet	zone	surviving	julian	complain	wheels	palace	edward	shaped	ratio	tones	ry	cred	trapped	puppets	simpson	insert	consume	zeppelin	virtue	eps	nostalgic	alaska	bend	swallowed	accidentally	hallelujah	russia	directed	misery	greg	bizarre	dean	exhausting	eccentric	formerly	clicks	accurate	crashes	mod	rarity	goodies	kenny	shannon	pros	categories	majority	audible	cosmic	euro	proven	product	remedy	elliott	problematic	amongst	slate	blew	expert	tribe	circus	vox	iris	ny	ye	crushed	cartoon	parties	university	hyper	sidewalk	jan	trials	promised	wisconsin	grape	victims	matched	graphic	booker	umbrella	eternal	junior	swamp	oil	drake	originality	apartment	potter	marianne	explosive	dum	lily	chromatics	magnet	disgusting	pockets	stanley	assured	oldham	illustrated	legend	ads	logo	continent	noir	respond	tribal	sites	barnes	delivery	impression	health	info	chairs	los	straw	directors	desk	simone	thin	cheaper	thrive	allen	maiden	elite	ab	combined	venue	jonny	nothings	emergency	axis	studied	necessity	bush	confirm	newest	walker	shades	windows	realistic	handy	mystic	correct	palmer	eden	sans	observed	coachella	gimmick	fashioned	traded	titus	ellis	couch	bean	bursts	labor	quietly	featured	tease	species	louise	guessed	reviewer	experimental	ms	overhead	breakdown	drifting	amy	finest	northwest	babes	lonesome	owls	korea	bow	swords	confidence	suzanne	observations	trumpet	pile	hating	reflects	websites	horribly	cheating	sufjan	intensity	advantage	engage	zombie	laced	moore	wears	tremendous	winners	songwriters	concise	temptation	entering	jefferson	casey	veteran	coincidentally	distorted	riding	worlds	germans	lang	manning
Δίσκοι Μουσικής στο Χρόνο	0	0	0	0	0	0	0	0	0	44	0	0	0	0	1	0	0	0	1	2	0	0	0	2	22	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	0	7	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	1	4	0	1	0	0	0	0	0	2	0	0	0	0	0	10	0	2	0	2	2	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	0	0	0	15	0	0	0	0	3	11	0	0	0	2	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	12	0	9	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	1	3	0	0	0	0	1	0	3	4	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	3	0	0	0	7	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	8	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	2	3	1	3	0	1	0	0	0	0	0	0	0	8	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	12	0	6	1	1	9	0	1	7	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	7	0	0	4	10	3	0	0	0	1	1	0	1	0	0	0	0	0	6	2	1	0	0	1	0	1	4	3	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	2	2	0	1	0	0	2	1	3	0	0	0	0	0	0	0	0	4	0	0	0	1	0	7	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0
GLI Press	0	0	0	0	0	1	0	1	1	6	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	1	0	4	0	0	0	0	0	1	1	3	1	0	2	0	2	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	2	0	1	0	0	0	5	1	0	1	0	6	0	4	1	0	0	0	0	0	0	0	0	2	2	2	3	0	2	0	6	0	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	2	2	0	3	0	1	0	0	1	1	0	0	1	1	1	1	9	0	0	0	0	4	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	6	0	0	22	3	0	1	0	0	0	2	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	1	1	0	6	1	0	0	0	0	1	0	0	1	0	0	2	7	1	0	0	0	1	0	0	0	0	1	4	0	0	1	3	0	0	0	0	0	2	0	0	1	2	1	0	0	1	0	0	0	0	1	0	0	1	1	2	0	1	0	0	1	0	0	0	0	3	0	1	0	0	0	1	2	0	0	1	1	0	0	0	1	0	2	0	0	0	1	2	0	0	0	0	0	5	0	0	2	0	0	0	0	2	0	1	1	1	1	1	0	0	2	1	0	0	1	0	0	2	0	1	2	3	1	0	0	0	0	0	3	2	0	0	0	0	0	0	2	0	1	0	0	2	0	1	5	0	0	0	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	2	8	0	1	0	0	0	0	0	2	1	0	0	1	3	1	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	0	1	0	0	0	2	2	0	0	1	3	2	0	0
symmetry/symmetry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Stearns Family	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	3	0	0	0	3	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	5	0	0	0	0	0	1	0	0	1	0	8	0	0	1	8	0	0	3	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	1	0	0	1	0	1	0	12	0	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0
One Stunning Single Egg	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A H T A P O T	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	2	0	0	0	1	0	0	2	3	0	0	1	0	1	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	4	1	1	0	0	5	0	0	0	0	0	1	0	1	0	1	1	0	4	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	2	0	1	0	0	1	0	0	2	0	2	0	0	0	6	7	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	6	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	8	0	0	0	5	0	1	1	3	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	2	0	1	4	0	0	0	4	2	0	0	1	1	0	0	0	0	0	1	0	1	0	0	6	0	0	11	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	2	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MR. BEAUTIFUL TRASH ART	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What Am I Doing?	16	0	4	34	7	21	0	29	0	0	9	0	4	0	8	3	7	5	7	0	4	0	2	3	0	1	0	2	5	0	11	2	2	7	2	4	2	4	4	3	2	6	1	0	1	0	0	1	0	0	2	1	17	2	0	5	0	0	3	12	2	10	0	1	16	0	3	21	1	0	6	0	1	2	1	1	1	0	3	2	62	10	14	0	6	1	5	4	9	22	0	1	0	3	2	1	2	10	2	3	0	12	34	0	2	11	2	0	16	1	7	1	28	11	10	5	6	5	5	3	0	0	10	12	0	11	0	1	0	14	0	0	1	6	0	5	1	2	8	3	1	2	2	4	3	9	18	1	2	9	16	9	0	0	0	13	46	2	16	1	3	4	12	4	5	20	4	1	12	1	8	1	11	0	0	1	1	0	6	8	1	9	2	7	0	27	1	6	16	3	3	5	11	4	14	4	0	1	0	37	2	7	3	5	9	5	4	0	5	13	28	4	7	19	0	0	0	43	17	0	4	6	2	13	7	24	2	0	3	4	4	11	3	3	8	19	17	1	3	1	13	3	18	4	4	69	23	2	8	0	5	4	7	0	2	3	1	20	12	1	1	4	0	15	1	0	2	0	1	3	0	2	4	0	0	0	0	2	11	25	10	3	3	0	1	9	0	16	2	2	3	8	13	2	18	1	3	1	1	11	1	0	8	2	1	1	0	0	12	7	0	5	0	19	6	2	3	16	1	2	1	2	9	9	5	0	1	12	0	1	3	11	5	2	1	0	7	70	1	1	0	6	4	5	9	3	4	0	0	0	0	3	0	3	44	2	2	6	0	4	3	0	15	0	12	0	4	2	2	3	35	1	0	12	0	0	5	2	0	0	2	2	3	2	7	0	2	10	25	5	2	0	3	1	40	0	9	3	49	11	14	11	10	4	21	0	8	10	1	1	1	9	0	13	2	0	0	29	2	3	2	9	2	3	0	4	150	5	9	0	6	0	0	1	2	0	0	3	0	0	0	14	3	1	4	6	14	4	15	0	1	0	8	9	6	1	21	0	2	39	0	0	2	67	3	2	2	0	2	1	30	0	3	15	2	1	0	2	12	7	2	0	0	4	2	6	0	0	0	13	0	0	2	0	0	26	19	3	1	0
A Wife's Tale	0	0	0	1	0	18	0	5	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	7	0	1	12	0	3	0	1	2	1	0	0	1	2	6	0	0	0	1	3	1	0	0	2	1	1	1	0	1	0	0	0	3	0	0	0	0	4	0	0	5	0	0	0	0	0	2	1	0	3	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	2	1	1	0	1	0	0	0	0	2	1	1	2	2	2	0	0	0	2	0	0	7	0	0	0	0	0	0	0	1	1	4	2	0	0	1	0	1	0	0	0	3	14	0	2	1	4	0	0	0	0	0	8	1	0	0	4	1	0	0	1	0	0	2	0	1	1	1	1	1	3	1	0	1	1	4	1	0	0	0	0	4	1	0	1	0	5	3	3	1	0	1	0	4	0	2	3	4	3	0	1	0	11	0	25	6	4	3	1	4	3	0	4	4	3	0	0	0	2	0	0	0	0	0	1	0	12	3	0	0	1	1	1	0	0	0	0	0	0	0	1	6	15	0	17	0	0	1	1	5	0	0	0	4	2	2	0	0	0	0	1	54	1	2	0	1	0	0	3	0	0	0	0	0	0	11	1	1	2	0	0	0	0	2	0	0	7	0	2	6	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	2	1	0	0	0	2	0	1	3	0	1	0	0	4	0	0	1	1	5	0	0	0	2	3	0	0	0	1	0	0	2	0	4	0	0	6	0	0	0	0	6	5	1	0	1	1	0	1	1	1	0	0	2	0	1	0	2	0	0	0	21	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	2	0	1	2	17	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	3	0	0	8	0	1	2	0	0	3	0	4	0	1	1	0	3	1	0	0	1	0	0	1	1	0	0	10	0	0	9	0	2	0	0	0	1	0	0	34	0	5	0	0	2	0	0	0	3	0	3	0	2	2	0	0	0	0	0	1	1	0	0	0	2	1	3	0	0	0	1	0	0	0	0	1	0	0	0	2	1	2	2	0	0	0
IoTube     :)	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	3	0	7	0	5	5	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	10	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	0	4	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	4	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	23	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	5	0	2	0	0	0	0	0	0	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	10	0	0	0	1	0	0	2	1	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	11	0	0	2	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	5	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	8	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	5	0	0	2	2	1	0	0	1	0	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	7	0	2	0	0	0	0	18	0	0	0	1	0	1	0	0	2	0	0	0	0	7	0	0	0	0	4	0	0	1	0
Lo importante es que estes tú bien	0	0	0	0	0	2	0	1	0	2	2	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Time Is Poetry	0	0	0	1	3	1	0	3	0	0	2	0	0	0	1	0	0	3	4	0	0	0	3	0	0	9	0	0	3	0	0	0	3	0	1	3	5	0	1	3	0	4	0	0	0	0	1	0	0	0	1	4	2	1	0	3	0	0	11	7	0	0	0	1	3	2	6	2	1	6	11	0	0	0	1	0	0	0	0	0	4	10	0	0	0	0	2	2	0	3	0	0	0	5	0	0	0	0	1	5	0	1	1	0	0	4	5	0	2	0	3	1	2	3	5	2	7	0	0	0	1	0	1	1	0	3	0	0	0	1	0	0	0	4	0	1	1	0	0	1	0	5	0	5	0	10	0	0	0	0	0	0	0	1	0	22	1	0	1	0	3	0	0	1	1	0	0	4	4	0	1	1	0	0	0	2	0	0	5	1	2	0	0	1	0	2	5	3	2	0	1	3	1	0	10	1	0	0	0	2	0	2	0	1	0	0	1	4	3	0	19	0	4	1	0	0	0	6	3	0	0	0	2	1	2	0	5	0	1	0	3	2	0	2	0	5	0	3	2	0	1	0	3	1	4	2	2	0	3	0	0	0	1	6	0	0	0	2	2	1	0	0	0	4	0	0	1	50	0	0	3	0	7	0	0	0	1	0	1	2	0	0	0	0	0	1	1	1	0	0	2	1	1	0	0	0	1	0	1	11	0	0	1	0	0	0	0	1	0	5	2	1	1	0	2	5	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	2	3	0	1	0	0	30	0	0	1	1	0	1	6	0	0	0	4	2	0	2	0	0	1	0	0	13	0	0	1	1	0	0	0	3	2	1	1	1	0	8	1	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0	2	0	0	0	0	4	8	0	1	0	1	0	7	0	9	0	1	0	0	0	0	0	0	0	2	1	0	0	0	5	0	0	0	0	5	0	0	0	11	0	1	0	0	0	0	1	0	1	0	21	0	1	2	9	0	2	6	0	1	0	0	0	6	2	0	5	0	0	0	6	0	0	4	0	2	0	0	1	4	2	1	2	3	0	0	1	1	1	0	2	0	2	0	0	0	0	1	3	0	0	0	0	0	1	1	1	0	0
